tempo,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,rms,chroma_stft,onset_strength_mean,onset_strength_std,pitch_variance,spectral_flux_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,label,song_id,segment_type
160.71428571428572,3408.8528765843644,3860.565761788088,7818.276750799858,0.06269250049991112,0.14176193,0.35952538,1.291033,1.237119,0.090093575,1.237119,-166.58522,50.1944,118.78912,22.39116,-26.897287,18.052155,56.655838,14.759367,-6.633763,15.738244,39.35668,14.435478,-16.634579,12.285776,19.14727,11.216913,-8.963886,11.7905245,2.588269,10.1143875,5.7981443,9.184102,6.5412216,10.8877325,12.115754,10.96364,Vallenato,Kaleth Morales - Ella Es Mi Todo.mp3,mitad
106.13207547169812,2967.3731819070867,3696.5683695812004,7156.361091361536,0.04694512642196943,0.11703784,0.41601586,1.1838971,1.1391217,0.09583763,1.1391217,-210.49316,94.5861,126.256775,28.42285,-6.608679,22.296846,44.8349,18.832483,-4.1427536,16.512348,35.69208,16.100033,-9.029334,13.996503,9.159496,12.79371,-1.3925201,9.885795,-3.1329596,8.144603,-0.081710994,7.812189,3.8451378,8.136662,8.367067,8.200577,Vallenato,Kaleth Morales - Ella Es Mi Todo.mp3,final
144.23076923076923,3270.347688891072,3424.3243249399793,6986.782905261287,0.07776811900106648,0.10069333,0.44565,1.150267,1.3359822,0.08787176,1.3359822,-209.8355,105.96851,115.104256,39.538036,-13.405458,27.09926,52.952797,21.804846,-9.673611,22.64102,26.260237,15.332626,-12.853888,18.65022,3.8773115,13.054439,1.027048,13.082731,4.0395865,11.278591,3.4837856,11.0258465,-4.1798487,10.670964,6.9425187,12.23299,Vallenato,Los chiches - Mi Primer Amor.mp3,inicio
144.23076923076923,3428.3227381497845,3568.127500931448,7306.634376110914,0.08017237907705296,0.10604164,0.43703878,1.2898108,1.4718579,0.08319821,1.4718579,-192.08667,62.954185,130.65349,29.90526,-23.854338,19.674326,65.135796,19.149654,-14.676076,19.556633,33.629665,17.086145,-12.963081,14.959667,9.537708,13.826316,-0.79622096,15.371979,0.9325495,15.41879,2.9962986,10.67412,-7.5178356,9.457102,3.3007605,11.041408,Vallenato,Los chiches - Mi Primer Amor.mp3,mitad
144.23076923076923,3118.657789960043,3397.095143906775,6884.701053146107,0.06896065699431213,0.12073361,0.40957114,1.0670024,0.9666002,0.08626247,0.9666002,-206.00333,128.16426,133.52962,40.693077,-30.813799,33.4637,62.10789,22.696714,-17.617022,22.930267,27.987896,17.987713,-17.863012,16.361889,5.588131,13.374182,8.535453,13.694709,-3.4586482,11.399582,1.6862261,9.713968,-5.697553,10.364153,8.166419,10.00139,Vallenato,Los chiches - Mi Primer Amor.mp3,final
127.8409090909091,2904.2948023905237,3315.8871193233676,5988.552035193743,0.06664388136553502,0.13641371,0.40100485,1.173061,1.2218727,0.08834604,1.2218727,-180.82436,82.89801,136.74707,36.707508,-27.111433,18.430374,45.746548,20.694744,-13.149418,18.255928,36.58217,17.331707,-11.781654,15.815766,13.072548,12.820093,-6.155617,15.508173,5.9950924,9.79091,-1.4854151,9.087308,-4.8620887,11.093386,8.1629095,9.800521,Vallenato,Binomio de Oro - Olvídala.mp3,inicio
133.92857142857142,3661.309894458658,3711.2626661399636,7752.996689477426,0.08506161404639176,0.15583067,0.42773205,1.2504381,1.0670424,0.08786116,1.0670424,-128.80402,51.162624,136.26628,27.929863,-36.662983,19.265625,56.61047,19.111006,-27.23767,19.760715,37.262417,15.491612,-23.563227,13.909596,14.783447,13.044817,-3.6409943,11.914776,2.9083464,9.598975,-0.014037869,8.529099,-0.30803898,9.746139,7.624939,8.526335,Vallenato,Binomio de Oro - Olvídala.mp3,mitad
133.92857142857142,4012.748609813094,3692.683217345373,8204.166481514398,0.10919395579674725,0.12769237,0.43418977,1.1113365,1.0365474,0.095216624,1.0365474,-189.1055,146.13225,118.86637,47.878967,-36.428646,22.115877,48.72983,23.498968,-22.335537,20.17086,34.032978,19.710176,-18.963247,14.264624,11.232813,13.0298195,-3.2569394,10.35932,2.6036448,8.957592,1.9344265,8.293539,0.19421616,8.666001,6.4189005,8.378988,Vallenato,Binomio de Oro - Olvídala.mp3,final
112.5,3310.1677385046096,3233.6039011806656,6753.9243023462495,0.08449938760886953,0.17580783,0.36646476,1.2790456,1.3395194,0.08710613,1.3395194,-133.0095,88.026886,128.86551,28.469465,-48.741364,19.574158,59.707214,19.529707,-19.657555,16.32334,37.67065,14.6706085,-10.824129,14.2544565,3.1270401,11.064998,-4.191878,11.903005,1.312075,13.302607,0.5362023,9.439033,-5.211715,8.274704,2.372894,9.049791,Vallenato,Silvestre Dangond - Niegame Tres Veces.mp3,inicio
114.79591836734694,3581.117768201136,3287.619820858534,7300.985380376822,0.09561668203430501,0.18105255,0.3436647,1.2321743,1.0645716,0.08453089,1.0645716,-117.49666,47.7642,131.5436,19.442514,-59.913532,17.148386,69.25092,15.305699,-26.657356,15.4467,34.626263,13.245642,-11.617991,12.955155,3.9357035,11.855174,0.5005249,13.069561,3.5768857,11.129033,2.0887864,10.33775,-6.835802,8.749673,-1.168672,12.133336,Vallenato,Silvestre Dangond - Niegame Tres Veces.mp3,mitad
