genero,artista_nombre,artista_id,imagen_artista,cancion_nombre,cancion_id,duracion_ms,es_explicito,imagen_album
clasica,Richard Clayderman,0h885xmyK9xHfhyXQr37L6,https://i.scdn.co/image/ab6761610000e5ebe572e0bc2defb843944d24a2,Ballade pour Adeline - Piano et orchestre,0Ep9uYqDWeVvhhqe124p9E,158000,False,https://i.scdn.co/image/ab67616d0000b273765ad1d66568da3ff659b7da
clasica,Richard Clayderman,0h885xmyK9xHfhyXQr37L6,https://i.scdn.co/image/ab6761610000e5ebe572e0bc2defb843944d24a2,Love Story,5IOU52Nwd37cYzzg92DHn0,185946,False,https://i.scdn.co/image/ab67616d0000b2731aadf2728ba64cd0d3e43cac
clasica,Música Clásica Para Bebés,7aQUvzBniiy5myte7T4SKz,https://i.scdn.co/image/ab67616d0000b27393159b2d2bbd33e6468b158c,Canción de cuna de Brahms Op.49 N. 4 - Piano,4K0Dlw56Ci9XIOPumSMXtQ,143546,False,https://i.scdn.co/image/ab67616d0000b27393159b2d2bbd33e6468b158c
clasica,Música Clásica Para Bebés,28el2CfkqCqx4vgAVkWvUd,https://i.scdn.co/image/ab6761610000e5eb62d453f998945144ddc86201,Canción de cuna de Brahms Op.49 N. 4 - Piano,4K0Dlw56Ci9XIOPumSMXtQ,143546,False,https://i.scdn.co/image/ab67616d0000b27393159b2d2bbd33e6468b158c
clasica,Música clásica para bebés,6Jb0nPGSHxO1l9F3LqViP1,https://i.scdn.co/image/ab67616d0000b273d6e639d6bfb148ad4c3a1316,Canción de cuna de Brahms Op.49 N. 4 - Piano,4K0Dlw56Ci9XIOPumSMXtQ,143546,False,https://i.scdn.co/image/ab67616d0000b27393159b2d2bbd33e6468b158c
clasica,Música Clásica Maestro Mozy,09jxdQxEDIWvwqYcT4w4Oc,https://i.scdn.co/image/ab6761610000e5eb22737132d3a91c2bbb419fb9,Claire De Lune - Versión de piano,2qmGbzZRupoMebYiPFGL2Q,175654,False,https://i.scdn.co/image/ab67616d0000b2732e298bf9b94090ece3023cc3
clasica,Música Clásica Maestro Mozy,09jxdQxEDIWvwqYcT4w4Oc,https://i.scdn.co/image/ab6761610000e5eb22737132d3a91c2bbb419fb9,Estrellita Donde Estas - Versión de piano,4uG5uc0tm440NUR9t60cwK,72961,False,https://i.scdn.co/image/ab67616d0000b273f2bc3516f33bf7dc79d23718
pop,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034,Beauty And A Beat,6QFCMUUq1T2Vf5sFUXcuQ7,227986,False,https://i.scdn.co/image/ab67616d0000b273f1d02a6cec967f8b6b78f76e
pop,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,205946,False,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc
pop,Shakira,0EmeFodog0BfCgMzAIvKQp,https://i.scdn.co/image/ab6761610000e5eb17f15f351cba70561ad8bcac,Antología,0KAqMRUSZwzG3dZLdDA4eH,254240,False,https://i.scdn.co/image/ab67616d0000b273021b9779a9dbaa6a976edb2d
